ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"1,535.64 ",RESIDENTIAL LONG TERM,V002343816
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"1,535.64 ",RESIDENTIAL LONG TERM,V002343816
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"1,493.26 ",RESIDENTIAL LONG TERM - MARKET FACTOR,V002343817
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"1,396.48 ",RESIDENTIAL LONG TERM,V002343818
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,ROCHDALE GATEWAY LEISURE LIMITED,13-Dec-24,"3,702.18 ",RESIDENTIAL LONG TERM - MARKET FACTOR,V002343819
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,ROCHDALE GATEWAY LEISURE LIMITED,13-Dec-24,"1,396.48 ",RESIDENTIAL LONG TERM,V002343820
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,MARSHMEAD LIMITED,13-Dec-24,"1,836.54 ",NURSING LONG TERM,V002343821
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"2,984.84 ",RESIDENTIAL LONG TERM,V002343822
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,CALTON SYSTEMS LIMITED,13-Dec-24,"1,546.00 ",RESIDENTIAL LONG TERM,V002343823
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,CALTON SYSTEMS LIMITED,13-Dec-24,"1,468.48 ",RESIDENTIAL LONG TERM,V002343824
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,ROOKWOOD,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343825
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,ROOKWOOD,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343825
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,13-Dec-24,"1,546.00 ",NURSING LONG TERM,V002343826
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,13-Dec-24,"1,546.00 ",NURSING LONG TERM,V002343826
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,SUNNYBANK P R S LTD,13-Dec-24,95.82 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002343827
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,SUNNYBANK P R S LTD,13-Dec-24,95.82 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002343827
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,SUNNYBANK P R S LTD,13-Dec-24,"1,900.44 ",RESIDENTIAL LONG TERM,V002343828
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,SUNNYBANK P R S LTD,13-Dec-24,"1,900.44 ",RESIDENTIAL LONG TERM,V002343828
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,LIVING AMBITIONS LTD,13-Dec-24,423.02 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002343829
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,LIVING AMBITIONS LTD,13-Dec-24,"6,187.50 ",RESIDENTIAL LONG TERM,V002343830
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,13-Dec-24,"3,051.38 ",NURSING LONG TERM - MARKET FACTOR,V002343831
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,13-Dec-24,"1,546.00 ",NURSING LONG TERM,V002343832
